"teamNum","matchesPlayedi","EPAi","EPA","matchesPlayed","ECT","aPPG","SEf","aSt","aSa","aS","BC"
148,0,44.79,47.57,7,17.6,27.75,3,7,1.12,8.12,0
2714,16,32.95,35.97,24,28.2,27.67,1.5,4.89,1,5.89,0
3005,17,63.47,63.84,25,13.8,44.89,1.5,10.11,1.33,11.44,0
3310,0,39.33,32.94,9,22,32.4,2.5,6.4,0.9,7.3,0
4153,0,27.35,31.12,7,45.6,7.75,3,3.25,0,3.25,0
4192,16,31.06,30.39,24,39.2,9.67,4.5,3.78,0.56,4.34,0
4206,14,37.93,36.39,22,26.2,23.78,1.5,5.44,1,6.44,0
4251,0,17.56,10.66,9,135,0.7,1.5,0.3,0,0.3,0
4641,15,21.48,21.87,23,75.5,10.89,3,1.78,1,2.78,0
5411,0,22.61,21.78,8,50.6,12.56,1.5,2.56,0.44,3,0
5431,17,29.06,28.77,26,74.5,13.67,1.5,2,0.89,2.89,0
5613,0,18.12,15.28,7,46.6,5.75,0,2.62,0.12,2.74,0
6369,0,23.55,22.72,8,67.5,7.78,1.5,1.89,0.78,2.67,0
6526,12,10.83,7.92,20,93.2,3.22,0,1.33,0,1.33,0
6672,18,46.76,49.31,27,18.1,35.8,1.5,8.1,2,10.1,0
6974,0,17.99,17.99,9,83,6.89,0,1.89,0.22,2.11,0
7119,12,12.49,13.38,20,59.6,10.56,4.5,2.44,1,3.44,0
7271,0,18.15,19.58,8,67.5,0.44,4.5,0.22,0,0.22,0
7321,12,9.75,11.86,18,NA,0,0,0,0,0,0
7503,14,15.8,17.36,22,53.4,9.22,0,2.33,0.56,2.89,0
7506,14,16.88,14.72,22,76.2,13.44,0,2.33,0.67,3,0
7534,0,18.42,15.86,9,99.6,3.3,0,1.2,0.3,1.5,0
7535,0,15.88,17.94,9,135,2.44,4.5,0.22,0.67,0.89,0
7540,15,23.35,23.92,23,45,16.33,4.5,3.11,0.78,3.89,0
8528,0,21.86,26.05,8,101.2,2,0,1,0,1,0
8749,14,15,15.12,22,23.6,16,4.5,5.78,1.33,7.11,0
8816,12,9.04,6.2,19,NA,0,0,0,0,0,0
8858,17,22.27,25.03,25,47.8,17.56,1.5,2.67,1,3.67,0
9069,0,17.56,17.56,0,0,0,0,0,0,0,0
9080,0,17.56,17.56,7,59.5,8.75,0,2.5,0,2.5,0
9088,18,19.16,19.16,28,37.4,17.1,0,3.9,0,3.9,0
9105,0,17.56,15.71,8,92.5,12.67,0,1.78,0.78,2.56,0
9128,15,38.91,36.23,22,29.1,22.25,2.5,4.38,0.75,5.13,0
9156,15,22.66,20,22,75.5,13.62,2.5,2,1,3,0
9299,0,17.56,17.56,7,NA,0,0,0,0,0,0
