"teamNum","matches","alliances"
148,"5,12,17,22,26,30,35,41,49,57,60,68","b,r,b,b,r,r,r,r,b,b,r,b"
2714,"3,11,16,22,25,29,36,43,51,56,62,67","r,b,r,r,r,b,b,b,r,r,r,b"
3005,"5,10,14,19,24,34,40,43,47,55,58,67","r,r,b,b,b,r,r,b,b,b,b,r"
3310,"3,10,15,18,24,33,38,45,49,52,61,66","b,r,r,r,r,b,r,b,b,b,r,b"
4153,"5,8,13,21,24,31,36,44,51,55,60,64","b,r,r,b,b,r,b,r,b,r,b,b"
4192,"2,9,14,20,27,34,38,43,50,57,60,63","b,r,r,b,r,b,r,r,b,b,b,r"
4206,"5,9,15,18,28,31,35,42,51,56,59,68","r,r,b,b,r,b,r,r,b,r,b,r"
4251,"5,11,16,22,27,31,38,44,48,54,57,65","r,b,b,b,r,r,b,b,r,r,r,b"
4641,"5,9,14,23,26,33,36,45,50,54,62,66","b,r,b,r,b,r,r,r,r,b,b,b"
5411,"4,7,14,18,26,29,40,44,51,56,60,63","b,b,r,r,b,r,b,r,r,b,r,b"
5431,"4,9,12,20,25,34,40,44,47,54,61,65","b,b,b,r,r,b,r,b,r,b,b,r"
5613,"2,7,12,22,25,31,39,46,50,55,61,64","r,r,b,b,b,b,r,r,b,b,r,r"
6369,"4,8,13,19,28,32,39,45,49,57,62,66","b,b,r,b,b,r,r,r,b,r,r,r"
6526,"1,9,17,21,25,32,35,42,48,53,63,66","r,b,r,b,b,b,r,b,r,r,r,b"
6672,"3,8,17,23,27,32,35,43,47,52,61,68","r,r,b,r,b,b,b,r,b,r,b,r"
6974,"6,11,16,19,27,33,39,42,46,55,60,65","r,r,r,r,b,b,r,b,b,r,r,b"
7119,"4,7,16,19,28,32,38,41,50,55,58,68","r,b,b,r,r,b,r,b,r,b,r,b"
7271,"2,8,16,20,23,30,37,42,51,56,61,66","b,r,b,r,b,b,b,r,r,b,r,r"
7321,"1,7,15,19,27,30,36,41,47,56,59,64","b,b,r,b,b,b,r,r,r,r,r,b"
7503,"1,11,17,20,24,29,39,44,47,53,62,68","b,r,r,b,r,r,b,b,b,b,r,b"
7506,"1,6,13,18,26,30,39,43,46,54,58,63","r,r,r,b,r,b,b,r,r,b,b,b"
7534,"2,6,12,21,27,32,36,40,46,52,62,68","r,b,r,r,r,r,b,r,b,b,b,r"
7535,"4,12,15,20,24,30,35,42,48,57,63,67","r,b,r,b,b,r,b,r,b,r,b,b"
7540,"4,10,17,21,25,31,37,45,50,56,59,67","r,b,r,r,r,r,r,b,b,b,b,r"
8528,"1,8,15,18,26,34,37,41,48,55,62,67","b,b,b,r,r,r,r,b,r,r,b,b"
8749,"2,7,15,21,26,33,39,43,49,52,59,65","b,r,b,r,b,b,b,b,r,r,r,r"
8816,"1,11,14,23,28,31,36,46,49,53,61,67","r,b,r,b,b,b,r,b,r,b,b,r"
8858,"3,11,14,20,25,30,37,40,49,52,58,64","r,r,b,r,b,r,r,b,r,b,r,b"
9069,"",""
9080,"6,10,16,23,28,34,40,45,48,53,60,64","b,b,r,b,r,r,b,r,b,r,b,r"
9088,"6,10,13,22,29,34,38,42,46,52,59,66","b,r,b,r,r,b,b,b,r,r,b,r"
9105,"2,10,13,21,24,29,35,41,50,54,58,65","r,b,b,b,r,b,b,r,r,r,b,r"
9128,"3,8,12,19,29,33,38,44,48,53,59,63","b,b,r,r,b,r,b,r,b,b,r,r"
9156,"3,7,13,18,23,32,37,41,47,53,57,65","b,r,b,b,r,r,b,b,r,r,b,b"
9299,"6,9,17,22,28,33,37,45,51,54,58,64","r,b,b,r,b,r,b,b,b,r,r,r"
